citizen_id,claim_count,days_since_claim,amount,hour,day_of_week,frequency_score,is_suspended,is_blacklisted,is_fraud
258114852628,0,42,5000,12,2,0.0,0,0,0
270278105966,5,125,2000,13,0,0.04,0,0,0
577501458771,3,111,3000,9,3,0.02702702702702703,0,1,0
816990201097,1,96,3000,17,0,0.010416666666666666,0,0,0
719454385166,5,42,3000,14,1,0.11904761904761904,0,0,0
334453131900,0,161,3000,15,0,0.0,1,0,0
884169032059,0,36,2000,15,4,0.0,1,0,0
920725945283,2,91,3000,16,5,0.02197802197802198,0,0,0
612671500463,3,110,3000,14,4,0.02727272727272727,0,0,0
686829655471,1,166,5000,17,2,0.006024096385542169,0,0,0
586949016220,5,60,2000,10,4,0.08333333333333333,0,1,0
251113059084,5,62,3000,12,0,0.08064516129032258,0,0,0
708499674210,2,92,5000,15,3,0.021739130434782608,0,0,0
329787951885,5,149,5000,11,1,0.03355704697986577,0,0,0
393268073029,3,94,2000,9,5,0.031914893617021274,0,0,0
468453274593,1,127,5000,9,3,0.007874015748031496,0,0,0
593506819142,0,68,3000,8,3,0.0,0,0,0
387451888273,2,56,2000,13,0,0.03571428571428571,0,0,0
718354380796,0,99,2000,13,0,0.0,0,0,0
368930097851,0,66,2000,10,3,0.0,0,0,0
148273463535,4,66,5000,11,1,0.06060606060606061,0,0,0
368930097851,3,143,2000,16,0,0.02097902097902098,0,0,0
431084322349,2,127,2000,14,4,0.015748031496062992,0,1,0
438330155016,5,43,3000,13,3,0.11627906976744186,0,0,0
239676020315,9,5,5000,13,1,1.8,0,0,1
459508342354,4,101,2000,8,3,0.039603960396039604,0,0,0
513099497484,0,78,5000,13,4,0.0,0,0,0
486125507261,1,97,5000,13,1,0.010309278350515464,0,0,0
211997365694,5,165,3000,9,4,0.030303030303030304,1,0,0
214679613026,1,77,2000,13,2,0.012987012987012988,0,0,0
524895304483,0,79,3000,8,2,0.0,0,0,0
644107981682,5,34,2000,12,4,0.14705882352941177,1,0,0
449436236999,2,48,3000,12,1,0.041666666666666664,0,0,0
163102236426,3,122,3000,14,1,0.02459016393442623,0,0,0
679657931514,5,155,2000,16,1,0.03225806451612903,0,0,0
180468163106,0,163,5000,9,4,0.0,0,0,0
462218432583,8,5,5000,20,6,1.6,1,0,1
175020480822,3,43,5000,8,3,0.06976744186046512,1,0,0
184369257644,3,139,5000,14,0,0.02158273381294964,0,0,0
763126732167,1,162,2000,17,4,0.006172839506172839,0,0,0
764292171076,3,38,5000,17,4,0.07894736842105263,0,0,0
997134614349,2,127,5000,12,2,0.015748031496062992,0,0,0
827899815858,4,50,2000,8,1,0.08,0,0,0
828295521068,4,141,5000,8,1,0.028368794326241134,0,0,0
709347257003,3,64,3000,16,5,0.046875,0,0,0
641688555125,5,121,3000,9,1,0.04132231404958678,1,0,0
744162110305,1,176,3000,13,0,0.005681818181818182,0,0,0
378619786128,5,78,5000,9,5,0.0641025641025641,0,0,0
